Impact_category,Unit,Abbrev,AoP
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Freshwater eutrophication')",kg PO4 P-lim eq,m_FWEU,m_FWEU
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Human toxicity cancer')",CTUh,m_HTX,m_HTX
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Human toxicity non-cancer')",CTUh,m_HTXN,m_HTXN
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Ionizing radiations')",Bq C-14 eq,m_IR,m_IR
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Land occupation, biodiversity')",m2 arable land eq .yr,m_LOBDV,m_LOBDV
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Land transformation, biodiversity')",m2 arable land eq,m_LTBDV,m_LTBDV
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Marine eutrophication')",kg N N-lim eq,m_MEU,m_MEU
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Mineral resources use')",kg deprived,m_MRU,m_MRU
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Ozone layer depletion')",kg  CFC-11 eq,m_OLD,m_OLD
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Particulate matter formation')",kg PM2.5 eq,m_PMF,m_PMF
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Photochemical oxidant formation')",kg NMVOC eq,m_PCOX,m_PCOX
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Terrestrial acidification')",kg SO2 eq,m_TRA,m_TRA
"('IMPACT World+ Midpoint 2.0.1_regionalized', 'Midpoint', 'Water scarcity')",m3 world-eq,m_WAS,m_WAS
"('IMPACT World+ Footprint 2.1 for ecoinvent v3.10', 'Carbon footprint')",kg CO2 eq (short),CF,CF
"('IMPACT World+ Footprint 2.1 for ecoinvent v3.10', 'Energetic resource depletion')",MJ deprived,FNEU,FNEU
"('IMPACT World+ Footprint 2.1 for ecoinvent v3.10', 'Ecosystem quality (residual)')",PDF.m2.yr,REQD,REQD
"('IMPACT World+ Footprint 2.1 for ecoinvent v3.10', 'Human health (residual)')",DALY,RHHD,RHHD
"('IMPACT World+ Footprint 2.1 for ecoinvent v3.10', 'Water footprint - Scarcity')",m3 world-eq,WSF,WSF
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Climate change, ecosystem quality, long term')",PDF.m2.yr,CCEQL,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Climate change, ecosystem quality, short term')",PDF.m2.yr,CCEQS,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Climate change, human health, long term')",DALY,CCHHL,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Climate change, human health, short term')",DALY,CCHHS,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Fisheries impact')",PDF.m2.yr,FI,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater acidification')",PDF.m2.yr,FWA,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater ecotoxicity, long term')",PDF.m2.yr,FWEXL,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater ecotoxicity, short term')",PDF.m2.yr,FWEXS,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Freshwater eutrophication')",PDF.m2.yr,FWEU,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity cancer, long term')",DALY,HTXCL,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity cancer, short term')",DALY,HTXCS,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity non-cancer, long term')",DALY,HTNCL,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Human toxicity non-cancer, short term')",DALY,HTNCS,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Ionizing radiations, ecosystem quality')",PDF.m2.yr,IREQ,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Ionizing radiations, human health')",DALY,IRHH,HH
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Land occupation, biodiversity')",PDF.m2.yr,LOBDV,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Land transformation, biodiversity')",PDF.m2.yr,LTBDV,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Marine acidification, long term')",PDF.m2.yr,MAL,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Marine acidification, short term')",PDF.m2.yr,MAS,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Marine ecotoxicity, long term')",PDF.m2.yr,MEXL,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Marine ecotoxicity, short term')",PDF.m2.yr,MEXS,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Ecosystem quality', 'Marine eutrophication')",PDF.m2.yr,MEU,EQ
"('IMPACT World+ Damage 2.1_regionalized for ecoinvent v3.10', 'Human health', 'Ozone layer depletion')",DALY,OLD,HH
