Name,EN_long,EN_short,FR_long,ColorPastel,NamePastel
Isolation_facade,Facade insulation,INS2,Isolation façade,#87c5a1,green_medium
Isolation_full,Complete insulation,INS3,Isolation complète,#53ac7a,green_dark
,,,,,
Mobility,Mobility,pkm,Mobilité,#32CD32,limegreen
Mobility (0.1 kWh/pkm),Mobility (0.1 kWh/pkm),Epkm,Mobilité (0.1 kWh/pkm),#32CD32,limegreen
ICE_district,Fossil fuel vehicles,ICE,Véhicule à combustion,#8B4513,saddlebrown
Bike_district,Bikes,Bike,Vélos,#90EE90,lightgreen
ElectricBike_district,Electric bikes,EBike,Vélos électriques,#00FF7F,springgreen
Total_EV_fleet,Electric vehicles,EVs,Véhicules électriques,#7AC5CD,turquoise
EV_district,Electric vehicles,EVs,Véhicules électriques,#7AC5CD,turquoise
EV_charger_district,EV charging station,EVchrg,Stations de recharge,#008080,teal
