egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,geometry,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y
190097752/280002146,1991-2000,Other,2750.01,FALSE,2534018.6,1152368.77,383.7689047,10480,TRUE,FALSE,,,Heat exchanger (DHN included) for single building/Not documented,Not documented,0,203600.2189,0,88.01132004,0,754727,3670654,3199162,471492,3487.4609,0,0,0,0,18,16.4,12,17,65,50,60,15,2208.843373,2443.970883,1975.56802,987.7711348,2499.689765,18.46824484,415.8481928,0.7964152857625972/0.20358471423740276,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat/Other,District heat/None,Heat exchanger (DHN included)/No heat generator,XI/XIII,0.028802092,108.5087082,58220.55843,0.00127,1,7.50892655,214.1580248,214.1563101,2499.689765,182316.4157,
9020490,1971-1980,Other,3936.69,FALSE,2534326.782,1152635.896,387.91,10481,TRUE,FALSE,,,Not documented,Not documented,0,408499.4403,0,176.5841666,0,755069,2569861,1807386,762475,2809.730435,0,0,0,0,18,16.4,12,17,65,50,60,15,3162,1379.819615,1417.628149,1417.622508,1392.107927,20.3,79.05,1,['existing'],Other,None,No heat generator,XIII,0.077868377,106,81895.8,0.00178,3,14.06,148.584006,148.5836049,1392.107927,232407,
796473,1981-1990,Residential,260.4,TRUE,2532709.56,1152540.453,402.84,10503,TRUE,FALSE,,,Condensation boiler for single building,Not documented,0,24748.40975,0,10.0139424,0,758449,438392,275649,162743,484.9869877,2299.788166,735.1171681,9792.29494,5.188866789,18,15.5,12,17,65,50,60,15,209.1566265,136.9895165,355.3,252.7864253,232.2005624,20,14.2226506,1,"['existing', 'existing']",Gas,Gas,Boiler,II,0.067439753,119.4,5446.438554,0.00152,2,7.26,48.94217199,48.9427534,232.2005624,31752.06747,
796482,1971-1980,Residential,381.3,TRUE,2532725.766,1152574.289,403.2727995,10503,TRUE,FALSE,,,Solar thermal installation for multiple buildings,Not documented,0,49828.27142,0,20.1620001,0,758450,705560,473192,232368,838.3776653,3367.546957,1076.421568,14338.71759,7.597983512,18,15.5,12,17,65,50,60,15,306.2650602,237.5215867,428.3980989,428.3943247,409.9833406,20,20.8260241,1,"['existing', 'existing']",Gas,Gas,Boiler,II,0.09272966,119.4,7975.142169,0.00209,2,6.156994572,92.81258425,92.81197126,409.9833406,46494.0988,
796490/280006228/280110847,1919-1945/<1919,Residential/Other,2364.99,FALSE,2532811.221,1152891.277,405.1614218,10505,TRUE,FALSE,,,Solar thermal installation for multiple buildings/Not documented,Not documented,0,290415.3199,0,117.1562824,0,758499,2078668,1293246,785422,2324.713244,0,0,74995.87048,39.73977337,18,15.58989383,12,17,65,50,60,15,1899.590361,1075.007406,3652.994828,1217.631221,1107.082023,20.02996461,121.0135422,0.9001179709005113/0.09673613841918995/0.00314589068029886,"['existing', 'existing', 'existing', 'existing']",Oil/Other,Oil/None,Boiler/No heat generator,II/XIII/XIII,0.08694766,118.0615808,49438.77012,0.001951081,2.800235942,6.866074641,269.7280071,269.7230958,1107.082023,273518.6696,
796993,<1919,Other,504.06,FALSE,2532806.2,1152945.5,408.6225614,10505,TRUE,FALSE,,,Not documented,Not documented,0,45974.00708,0,17.56447476,0,758560,649288,407207,242081,732.1953186,0,0,0,0,18,16.4,12,17,65,50,60,15,404.8674699,279.2385644,701.3,373.8279899,358.3673287,20.3,10.12168675,1,['existing'],Other,None,No heat generator,XIII,0.055404305,106,10486.06747,0.00133,2,9.392561379,74.66034998,77.97379115,358.3673287,29757.75904,
280078313/280078314,>2010,Education/Residential,70668.84,TRUE,2532982.923,1152780.07,410.9795275,10503,TRUE,FALSE,,,Heat pump for single building/Heat exchanger (DHN included) for single building,Not documented,0.184210007,3635710.956,69666.63378,1515.09464,179.6471235,758636,26276486,21788287,4488199,27411.99302,515962.0186,164924.989,4565618.104,2419.288257,18,15.09411354,12,17,41.5,33.9,60,15,56762.12048,18736.07502,21888.10328,8224.166946,19187.82607,20,9641.537965,0.3122203505816708/0.6877796494183293,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Not determined/District heat,Solar (thermal),Solar thermal installation,IV/I,0.042691348,117.9895694,2113253.727,0.000861222,7.751118598,22.19783847,935.1517265,812.6224678,19187.82607,5153998.676,
796492,1961-1970,Residential,758.88,TRUE,2532951.195,1152928.799,410.01,10506,TRUE,FALSE,,,Solar thermal installation for multiple buildings,Not documented,0,95848.91626,0,38.78332128,0,758669,952929,444164,508765,1238.201024,7912.366427,2529.153114,41667.21418,22.07915766,18,15.5,12,17,65,50,60,15,609.5421687,265.387527,891.407478,891.3921807,346.8088431,20,60.5188296,1,"['existing', 'existing', 'existing']",Gas,Solar (thermal),Solar thermal installation,I,0.091657217,120.3,17801.67904,0.00202,3,15.9,69.88492591,69.88396382,346.8088431,55962.06651,
280063288/3163249/3163248/3163250,1991-2000,Education/Residential,3413.1,FALSE,2532984.539,1152998.065,409.49,10506,TRUE,FALSE,,,Not documented/Heat exchanger (DHN included) for single building,Not documented,0.200021798,352235.715,3653.507351,150.7544767,9.42118272,758708,3130468,1887616,1242852,3886.048589,0,0,192048.3604,101.7650475,18,14.79722071,12,17,65,50,60,15,2741.445783,1614.498324,20878.4,2261.10699,1624.9416,20,607.176778,0.12942779291553133/0.27520435967302453/0.054768392370572204/0.5405994550408719,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/District heat,None/Gas,No heat generator/Boiler,I/I/I/IV,0.095608857,116.299564,118156.3894,0.001795706,4.240326975,16.75,311.6194538,311.6217897,1624.9416,246897.7894,
3163246/3163247,1991-2000,Residential,4836,TRUE,2533011.948,1153075.707,407.39,10506,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0,459613.3239,0,185.973216,0,758709,1880013,847217,1032796,2507.207706,50421.94292,16117.1522,265526.3649,140.7005145,18,15.5,12,17,65,50,60,15,3884.337349,646.425959,4792.6,1853.342573,653.865133,20,385.6592083,0.5/0.5,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,Boiler,I/I,0.068969787,120.3,113442.0723,0.00152,4,14.09,170.0681808,170.0703814,653.865133,356621.012,
9020449/3163267,1991-2000,Education/Residential,2072.97,TRUE,2533036.185,1153077.389,404.51,10506,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0.276877524,220433.2455,3071.597914,95.89890998,7.92063144,758732,2320644,1118583,1202061,2904.004923,6755.746647,2159.44469,75177.01627,39.83576122,18,14.52718708,12,17,65,50,60,15,1665.036145,841.6636615,6013.4,2062.332579,841.6723438,20,433.8387573,0.7483176312247644/0.25168236877523553,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",District heat,Gas,Boiler,IV/II,0.10463388,114.5359354,79326.37359,0.001901642,3,14.11,213.0892474,213.0894436,841.6723438,173979.8508,
3163269,1991-2000,Residential,1428.48,TRUE,2533057.853,1152914.087,405.23,10506,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0,135762.7049,0,54.93362688,0,758745,1249695,535496,714199,1631.419131,14893.86622,4760.758803,78432.40317,41.56076736,18,15.5,12,17,65,50,60,15,1147.373494,403.5495965,1573.6,1227.880157,403.5389738,20,113.9177969,1,"['existing', 'existing', 'existing']",District heat,Gas,Boiler,I,0.068969787,120.3,33509.04289,0.00152,4,14.66,107.341598,107.3417576,403.5495965,105340.3605,
3163268,1991-2000,Residential,1428.48,TRUE,2533057.538,1152949.801,405.17,10506,TRUE,FALSE,,,Heat exchanger (DHN included) for single building,Not documented,0,135762.7049,0,54.93362688,0,758746,1267992,537316,730676,1622.086224,14893.86622,4760.758803,78432.40317,41.56076736,18,15.5,12,17,65,50,60,15,1147.373494,402.4712025,1219.603184,1219.602239,402.483985,20,113.9177969,1,"['existing', 'existing', 'existing']",District heat,Gas,Boiler,I,0.068969787,120.3,33509.04289,0.00152,4,14.6,107.0435533,107.0434886,402.483985,105340.3605,
