time(UTC),Building1,Building2,Building3,Building4
2016-01-04 09:00:00+00:00,236.25,484.0,1193.75,624.0
2016-01-04 10:00:00+00:00,194.0,625.75,954.0,715.25
2016-01-04 11:00:00+00:00,739.5,685.0,789.5,428.25
2016-01-04 12:00:00+00:00,589.75,2457.5,1051.5,269.5
2016-01-04 13:00:00+00:00,435.5,2091.5,1013.5,327.75
2016-01-04 14:00:00+00:00,364.25,1181.75,734.5,273.0
2016-01-04 15:00:00+00:00,2625.0,2096.0,860.0,298.25
2016-01-04 16:00:00+00:00,551.75,1310.75,988.75,662.0
2016-01-04 17:00:00+00:00,723.75,1176.25,1573.25,433.75
2016-01-04 18:00:00+00:00,529.5,2230.5,2031.5,1743.25
2016-01-04 19:00:00+00:00,2913.5,2751.25,2257.75,1072.5
2016-01-04 20:00:00+00:00,1148.5,3683.25,2950.5,1877.75
2016-01-04 21:00:00+00:00,676.25,1971.5,3943.0,1162.75
2016-01-04 22:00:00+00:00,1266.75,1879.5,3165.25,999.75
2016-01-04 23:00:00+00:00,702.75,1057.0,2364.75,361.75
2016-01-05 00:00:00+00:00,616.75,231.75,955.0,312.5
2016-01-05 01:00:00+00:00,760.75,558.25,586.0,320.5
2016-01-05 02:00:00+00:00,384.75,421.75,554.0,327.75
2016-01-05 03:00:00+00:00,233.75,360.0,696.0,311.75
2016-01-05 04:00:00+00:00,210.5,241.0,511.75,266.5
2016-01-05 05:00:00+00:00,175.75,379.0,2344.25,337.75
2016-01-05 06:00:00+00:00,304.75,390.25,2005.75,399.25
2016-01-05 07:00:00+00:00,438.5,1398.75,1709.25,2273.0
2016-01-05 08:00:00+00:00,258.75,621.75,1850.5,8565.0
2016-01-05 09:00:00+00:00,313.75,556.25,973.0,2904.5
2016-01-05 10:00:00+00:00,433.75,1071.75,886.5,340.0
2016-01-05 11:00:00+00:00,334.25,3428.5,1190.5,304.75
2016-01-05 12:00:00+00:00,251.5,3503.0,826.5,1315.25
2016-01-05 13:00:00+00:00,1200.75,1729.75,1406.75,6327.5
2016-01-05 14:00:00+00:00,641.0,3363.25,762.25,6414.25
2016-01-05 15:00:00+00:00,2687.25,3367.0,630.0,8633.5
2016-01-05 16:00:00+00:00,671.5,1833.25,1002.0,1212.0
2016-01-05 17:00:00+00:00,292.75,4049.5,1559.5,392.5
2016-01-05 18:00:00+00:00,573.5,3259.5,2141.25,332.0
2016-01-05 19:00:00+00:00,1928.25,1009.75,1945.0,3789.0
2016-01-05 20:00:00+00:00,3038.0,2069.5,2971.5,697.75
2016-01-05 21:00:00+00:00,608.75,832.25,1742.25,770.5
2016-01-05 22:00:00+00:00,490.0,2809.25,1270.75,544.0
2016-01-05 23:00:00+00:00,464.25,2334.5,1138.25,344.0
2016-01-06 00:00:00+00:00,255.5,745.0,932.25,285.25
2016-01-06 01:00:00+00:00,183.5,1133.0,553.75,310.25
2016-01-06 02:00:00+00:00,226.5,547.0,482.0,322.5
2016-01-06 03:00:00+00:00,194.5,341.75,559.25,321.0
2016-01-06 04:00:00+00:00,196.5,534.25,534.75,321.75
2016-01-06 05:00:00+00:00,239.25,459.5,1993.25,285.75
2016-01-06 06:00:00+00:00,192.0,902.0,2010.75,332.0
2016-01-06 07:00:00+00:00,512.5,673.75,2283.5,396.25
2016-01-06 08:00:00+00:00,230.0,552.25,2906.0,1612.5
2016-01-06 09:00:00+00:00,259.0,495.75,5122.0,1003.75
2016-01-06 10:00:00+00:00,809.5,1215.75,3180.75,636.75
2016-01-06 11:00:00+00:00,301.0,617.25,1348.0,8090.0
2016-01-06 12:00:00+00:00,1138.75,473.5,756.5,2370.5
2016-01-06 13:00:00+00:00,1030.0,464.5,632.0,10936.5
2016-01-06 14:00:00+00:00,463.75,387.75,725.0,701.5
2016-01-06 15:00:00+00:00,679.25,517.0,1959.25,8233.5
2016-01-06 16:00:00+00:00,417.25,458.75,1569.5,916.75
2016-01-06 17:00:00+00:00,337.0,3955.5,4558.0,461.25
2016-01-06 18:00:00+00:00,344.0,4181.75,4947.75,557.75
2016-01-06 19:00:00+00:00,336.0,7013.75,3701.5,670.75
2016-01-06 20:00:00+00:00,1037.25,10170.75,4030.75,2183.25
2016-01-06 21:00:00+00:00,4279.25,2341.0,3554.0,932.0
2016-01-06 22:00:00+00:00,651.75,1664.25,3009.25,2147.0
2016-01-06 23:00:00+00:00,842.75,899.25,3349.25,408.5
2016-01-07 00:00:00+00:00,821.5,2757.0,946.75,398.75
2016-01-07 01:00:00+00:00,864.25,3465.25,542.0,285.5
2016-01-07 02:00:00+00:00,816.75,5658.75,739.75,293.25
2016-01-07 03:00:00+00:00,380.25,570.75,1058.5,251.5
2016-01-07 04:00:00+00:00,298.5,410.75,889.25,271.25
2016-01-07 05:00:00+00:00,234.25,308.25,2399.5,290.25
2016-01-07 06:00:00+00:00,163.75,447.0,2190.0,299.25
2016-01-07 07:00:00+00:00,245.0,326.5,1589.0,437.0
2016-01-07 08:00:00+00:00,199.25,640.75,2205.5,408.25
2016-01-07 09:00:00+00:00,239.0,4050.25,1363.75,775.0
2016-01-07 10:00:00+00:00,680.0,2048.25,873.25,332.5
2016-01-07 11:00:00+00:00,497.25,768.25,683.5,475.75
2016-01-07 12:00:00+00:00,1356.0,565.25,602.5,329.25
2016-01-07 13:00:00+00:00,1747.5,2718.0,4710.75,380.25
2016-01-07 14:00:00+00:00,1250.5,3402.5,3305.25,884.75
2016-01-07 15:00:00+00:00,726.0,880.75,2592.5,332.5
2016-01-07 16:00:00+00:00,554.75,538.5,1116.25,249.0
2016-01-07 17:00:00+00:00,622.75,728.25,2811.0,321.25
2016-01-07 18:00:00+00:00,3002.75,1423.25,2558.25,331.5
2016-01-07 19:00:00+00:00,677.75,1457.25,1875.75,3803.75
2016-01-07 20:00:00+00:00,883.5,1216.25,1912.25,2337.75
2016-01-07 21:00:00+00:00,885.0,1147.5,3013.0,774.5
2016-01-07 22:00:00+00:00,985.0,494.5,2547.75,1878.5
2016-01-07 23:00:00+00:00,806.5,948.0,2255.75,443.75
2016-01-08 00:00:00+00:00,267.5,1217.75,1135.5,454.25
2016-01-08 01:00:00+00:00,187.25,2302.0,1103.0,281.75
2016-01-08 02:00:00+00:00,196.75,2046.0,1412.75,274.0
2016-01-08 03:00:00+00:00,240.0,416.25,1494.25,342.0
2016-01-08 04:00:00+00:00,192.0,424.5,1431.0,334.5
2016-01-08 05:00:00+00:00,305.0,477.0,4205.25,296.25
2016-01-08 06:00:00+00:00,341.25,1429.75,3096.5,437.5
2016-01-08 07:00:00+00:00,496.25,1275.25,1845.25,502.75
2016-01-08 08:00:00+00:00,228.0,687.25,1671.0,498.75
2016-01-08 09:00:00+00:00,206.0,648.25,927.0,278.75
2016-01-08 10:00:00+00:00,149.5,627.0,805.25,259.75
2016-01-08 11:00:00+00:00,217.0,626.25,1171.25,221.5
2016-01-08 12:00:00+00:00,174.75,831.0,680.0,243.5
2016-01-08 13:00:00+00:00,168.0,360.25,703.75,262.0
2016-01-08 14:00:00+00:00,262.75,391.0,884.0,276.5
2016-01-08 15:00:00+00:00,164.0,297.5,992.5,271.25
2016-01-08 16:00:00+00:00,548.75,274.5,871.0,214.75
2016-01-08 17:00:00+00:00,3793.0,514.0,2290.25,305.5
2016-01-08 18:00:00+00:00,364.5,638.0,2073.75,1076.75
2016-01-08 19:00:00+00:00,488.5,1340.5,2783.0,1033.75
2016-01-08 20:00:00+00:00,3355.5,1726.5,2519.75,952.75
2016-01-08 21:00:00+00:00,379.75,934.5,2607.5,555.5
2016-01-08 22:00:00+00:00,1041.0,612.25,1705.0,619.25
2016-01-08 23:00:00+00:00,798.75,461.0,2559.75,434.25
2016-01-09 00:00:00+00:00,267.75,311.75,1788.25,335.25
2016-01-09 01:00:00+00:00,212.75,406.0,903.75,306.0
2016-01-09 02:00:00+00:00,210.75,350.5,1057.25,313.0
2016-01-09 03:00:00+00:00,251.25,459.5,1008.0,295.5
2016-01-09 04:00:00+00:00,165.75,301.25,663.0,326.5
2016-01-09 05:00:00+00:00,357.0,467.75,2744.25,357.0
2016-01-09 06:00:00+00:00,321.75,1107.25,3374.5,461.5
2016-01-09 07:00:00+00:00,515.5,905.75,1475.0,248.25
2016-01-09 08:00:00+00:00,309.25,316.0,1090.25,2796.0
2016-01-09 09:00:00+00:00,163.0,386.5,1326.75,1388.25
2016-01-09 10:00:00+00:00,208.25,384.5,1323.5,886.0
2016-01-09 11:00:00+00:00,193.75,243.75,2877.0,231.5
2016-01-09 12:00:00+00:00,160.25,556.5,728.5,11776.5
2016-01-09 13:00:00+00:00,220.0,313.25,1207.75,2884.25
2016-01-09 14:00:00+00:00,206.75,380.5,1102.75,6199.75
2016-01-09 15:00:00+00:00,204.25,446.75,1147.5,14894.0
2016-01-09 16:00:00+00:00,420.75,276.5,1047.75,3479.0
2016-01-09 17:00:00+00:00,354.75,886.5,2409.5,5843.5
2016-01-09 18:00:00+00:00,356.25,2522.5,2301.5,559.5
2016-01-09 19:00:00+00:00,548.75,2218.0,4413.0,941.5
2016-01-09 20:00:00+00:00,1532.75,2339.25,4437.75,652.5
2016-01-09 21:00:00+00:00,1961.5,1312.5,2894.5,815.25
2016-01-09 22:00:00+00:00,936.25,941.0,2583.0,712.0
2016-01-09 23:00:00+00:00,363.0,597.25,10078.25,568.5
2016-01-10 00:00:00+00:00,252.75,416.5,1697.5,479.5
2016-01-10 01:00:00+00:00,170.5,426.75,1305.25,546.0
2016-01-10 02:00:00+00:00,246.0,398.5,1315.75,314.0
2016-01-10 03:00:00+00:00,208.25,584.5,1106.75,338.5
2016-01-10 04:00:00+00:00,197.0,319.25,1258.25,456.25
2016-01-10 05:00:00+00:00,244.5,549.0,3384.25,328.5
2016-01-10 06:00:00+00:00,251.5,593.25,3809.0,469.25
2016-01-10 07:00:00+00:00,553.75,662.0,7474.75,1048.25
2016-01-10 08:00:00+00:00,228.75,461.25,7158.25,455.75
2016-01-10 09:00:00+00:00,161.75,535.5,6158.25,306.75
2016-01-10 10:00:00+00:00,215.75,438.0,2406.25,287.75
2016-01-10 11:00:00+00:00,191.5,730.75,1242.25,241.75
2016-01-10 12:00:00+00:00,167.5,3910.75,3365.75,292.75
2016-01-10 13:00:00+00:00,209.25,533.75,1825.0,274.5
2016-01-10 14:00:00+00:00,198.75,475.5,1363.75,277.75
2016-01-10 15:00:00+00:00,259.0,449.0,1255.0,283.5
2016-01-10 16:00:00+00:00,327.0,441.0,1328.5,241.25
2016-01-10 17:00:00+00:00,282.25,829.75,2152.25,362.5
2016-01-10 18:00:00+00:00,357.75,1006.25,1727.0,1031.5
2016-01-10 19:00:00+00:00,924.0,974.25,2325.75,641.5
2016-01-10 20:00:00+00:00,765.75,1302.0,4972.0,729.75
2016-01-10 21:00:00+00:00,830.75,1371.75,2564.75,676.75
2016-01-10 22:00:00+00:00,1549.25,1260.5,2330.75,540.5
2016-01-10 23:00:00+00:00,365.0,1173.0,2637.0,460.25
2016-01-11 00:00:00+00:00,273.0,653.75,1619.25,490.0
2016-01-11 01:00:00+00:00,243.75,473.5,1461.5,331.0
2016-01-11 02:00:00+00:00,236.5,563.0,1315.75,294.75
2016-01-11 03:00:00+00:00,257.25,334.75,1019.5,317.75
2016-01-11 04:00:00+00:00,183.0,451.75,1063.25,352.75
2016-01-11 05:00:00+00:00,255.25,547.75,3209.5,337.0
2016-01-11 06:00:00+00:00,313.0,715.5,5335.75,410.25
2016-01-11 07:00:00+00:00,424.75,1256.25,7357.25,419.5
2016-01-11 08:00:00+00:00,325.75,1324.75,6919.5,441.0
2016-01-11 09:00:00+00:00,206.75,654.0,1437.25,326.75
2016-01-11 10:00:00+00:00,184.0,902.0,1300.75,279.25
2016-01-11 11:00:00+00:00,220.25,488.5,2601.5,252.5
2016-01-11 12:00:00+00:00,181.0,1412.5,1863.75,271.25
2016-01-11 13:00:00+00:00,488.5,413.0,910.25,291.0
2016-01-11 14:00:00+00:00,341.75,612.5,826.75,319.0
2016-01-11 15:00:00+00:00,390.0,655.25,1124.0,452.0
2016-01-11 16:00:00+00:00,802.75,584.0,450.5,314.5
2016-01-11 17:00:00+00:00,393.25,409.0,1078.75,357.25
2016-01-11 18:00:00+00:00,272.0,2235.75,2485.75,625.0
2016-01-11 19:00:00+00:00,357.25,1290.75,1819.25,651.75
2016-01-11 20:00:00+00:00,342.5,2504.25,2704.5,606.25
2016-01-11 21:00:00+00:00,493.75,1533.0,4181.25,704.5
2016-01-11 22:00:00+00:00,791.5,761.75,1779.25,779.0
2016-01-11 23:00:00+00:00,405.25,596.75,1692.75,584.0
2016-01-12 00:00:00+00:00,217.25,343.75,1231.25,240.5
2016-01-12 01:00:00+00:00,203.0,343.0,980.5,276.5
2016-01-12 02:00:00+00:00,196.25,470.25,1046.25,345.75
2016-01-12 03:00:00+00:00,252.25,364.5,1135.0,344.25
2016-01-12 04:00:00+00:00,189.25,540.5,1090.25,313.5
2016-01-12 05:00:00+00:00,229.25,359.25,3454.75,302.0
2016-01-12 06:00:00+00:00,817.5,760.75,3065.75,475.25
2016-01-12 07:00:00+00:00,349.5,446.0,2800.0,395.25
2016-01-12 08:00:00+00:00,227.0,1320.25,2055.5,441.5
2016-01-12 09:00:00+00:00,180.25,1089.5,4074.0,311.0
2016-01-12 10:00:00+00:00,186.5,1711.0,1592.75,358.75
2016-01-12 11:00:00+00:00,216.75,2031.5,3965.5,317.75
2016-01-12 12:00:00+00:00,152.75,2769.75,2291.0,242.25
2016-01-12 13:00:00+00:00,236.25,2545.0,1598.0,317.25
2016-01-12 14:00:00+00:00,220.25,1818.75,1338.25,366.25
2016-01-12 15:00:00+00:00,481.0,1241.75,3086.25,440.25
2016-01-12 16:00:00+00:00,620.5,1332.0,2350.75,787.5
2016-01-12 17:00:00+00:00,735.75,973.5,1388.5,600.5
2016-01-12 18:00:00+00:00,1462.75,1641.75,2689.25,702.25
2016-01-12 19:00:00+00:00,1904.5,1392.75,2086.75,927.75
2016-01-12 20:00:00+00:00,2802.5,1710.75,2053.0,1290.25
2016-01-12 21:00:00+00:00,895.0,1726.25,3733.25,993.75
2016-01-12 22:00:00+00:00,955.25,3971.5,2821.25,2473.0
2016-01-12 23:00:00+00:00,1108.25,1244.0,2836.5,412.5
2016-01-13 00:00:00+00:00,953.75,461.5,2194.0,288.75
2016-01-13 01:00:00+00:00,336.0,640.5,1387.5,256.5
2016-01-13 02:00:00+00:00,187.75,471.0,1391.0,498.25
2016-01-13 03:00:00+00:00,251.5,513.25,1307.0,386.5
2016-01-13 04:00:00+00:00,213.75,448.0,1338.75,314.5
2016-01-13 05:00:00+00:00,211.25,556.75,4087.75,156.25
2016-01-13 06:00:00+00:00,319.25,629.5,3994.0,130.75
2016-01-13 07:00:00+00:00,937.75,390.75,2937.0,417.75
2016-01-13 08:00:00+00:00,292.75,717.25,3130.0,607.5
2016-01-13 09:00:00+00:00,647.25,1361.0,1983.25,848.75
2016-01-13 10:00:00+00:00,194.75,294.25,8483.0,581.5
2016-01-13 11:00:00+00:00,218.5,449.75,2008.0,269.25
2016-01-13 12:00:00+00:00,148.0,240.25,959.25,270.75
2016-01-13 13:00:00+00:00,205.75,444.0,1859.5,251.75
2016-01-13 14:00:00+00:00,193.75,1261.5,3010.75,287.25
2016-01-13 15:00:00+00:00,165.25,423.75,1217.25,1602.5
2016-01-13 16:00:00+00:00,232.25,499.5,3637.0,421.0
2016-01-13 17:00:00+00:00,309.25,1521.0,4207.25,902.25
2016-01-13 18:00:00+00:00,305.75,1028.75,4262.0,10366.0
2016-01-13 19:00:00+00:00,312.75,2061.0,1856.75,2385.5
2016-01-13 20:00:00+00:00,331.0,2016.75,3525.25,781.5
2016-01-13 21:00:00+00:00,417.75,2180.0,9305.0,536.0
2016-01-13 22:00:00+00:00,342.25,759.25,5211.5,570.5
2016-01-13 23:00:00+00:00,325.0,472.5,1666.5,481.75
2016-01-14 00:00:00+00:00,352.25,481.0,1225.5,397.75
2016-01-14 01:00:00+00:00,264.75,514.25,893.25,162.0
2016-01-14 02:00:00+00:00,351.25,556.25,1205.5,156.0
2016-01-14 03:00:00+00:00,311.25,389.5,1711.25,176.0
2016-01-14 04:00:00+00:00,346.25,573.25,1195.25,176.75
2016-01-14 05:00:00+00:00,361.0,391.75,3320.75,171.25
2016-01-14 06:00:00+00:00,246.0,499.5,3012.25,350.25
2016-01-14 07:00:00+00:00,356.25,474.75,1868.25,622.0
2016-01-14 08:00:00+00:00,366.25,500.0,2826.5,7022.0
2016-01-14 09:00:00+00:00,226.75,1659.0,293.75,318.5
2016-01-14 10:00:00+00:00,361.0,466.25,361.75,346.75
2016-01-14 11:00:00+00:00,254.25,375.0,381.75,2157.25
2016-01-14 12:00:00+00:00,247.0,198.25,254.0,779.25
2016-01-14 13:00:00+00:00,222.5,628.5,591.75,1286.25
2016-01-14 14:00:00+00:00,198.5,1398.5,981.5,2986.25
2016-01-14 15:00:00+00:00,689.25,682.75,1275.25,1735.75
2016-01-14 16:00:00+00:00,287.5,829.75,1152.25,343.5
2016-01-14 17:00:00+00:00,318.75,1173.5,2629.0,7618.5
2016-01-14 18:00:00+00:00,371.25,572.75,8341.75,2873.75
2016-01-14 19:00:00+00:00,1736.0,1409.5,2431.5,733.0
2016-01-14 20:00:00+00:00,2378.5,2367.25,2140.5,599.25
2016-01-14 21:00:00+00:00,743.0,2539.0,1821.25,636.75
2016-01-14 22:00:00+00:00,788.75,3916.0,1443.0,625.75
2016-01-14 23:00:00+00:00,400.75,878.0,2609.75,539.5
2016-01-15 00:00:00+00:00,247.25,683.25,1907.25,557.25
2016-01-15 01:00:00+00:00,187.5,429.0,1423.5,333.75
2016-01-15 02:00:00+00:00,222.5,299.5,1400.25,330.0
2016-01-15 03:00:00+00:00,250.5,468.0,1159.25,351.75
2016-01-15 04:00:00+00:00,196.5,424.75,825.0,294.25
2016-01-15 05:00:00+00:00,326.75,485.25,2551.25,300.0
2016-01-15 06:00:00+00:00,333.75,801.25,2890.5,396.75
2016-01-15 07:00:00+00:00,965.0,938.25,3484.75,888.5
2016-01-15 08:00:00+00:00,234.0,676.25,2420.5,271.25
2016-01-15 09:00:00+00:00,229.0,735.75,1406.5,327.5
2016-01-15 10:00:00+00:00,154.0,604.75,1783.5,304.5
2016-01-15 11:00:00+00:00,211.0,1003.0,3603.0,238.75
2016-01-15 12:00:00+00:00,194.5,1845.0,1769.5,301.75
