id,nom,T_aller,T_retour,Id_Parc,no_parc,qlEner_iEGID,qlEner_sCommune,qlEner_sRue,qlEner_sNoRue,qlEner_sType,qlEner_Conso,qlEner_iCuisson,qlEner_sRecommendation,qlEner_iEDID,Année_construction,Période_de_construction,Année_de_rénovation_du_bâtiment,Surface_bâtiment,Nombre_de_niveau,SRE_calculée,qlEner_Densité,qlEner_iConsoRenov,geometry
0.0,Dôle,175.0,75.0,1323793.0,3793.0,884730.0,Lausanne,Chemin de Bellevue,18,CAD,398.2,,Déjà raccordé remplaçable par sonde,0.0,1925.0,8012.0,0.0,150.0,2.0,240.0,1659.16666666667,,MULTIPOINT (2539131.5640000487 1152276.027004837)
0.0,Sud-Ouest / Cadouest,130.0,70.0,,,887068.0,Lausanne,Chemin du Camping,3,Gaz,219.255744,,CAD actuel,0.0,1967.0,8014.0,0.0,166.0,1.0,132.800003,1651.0221686747,,MULTIPOINT (2535467.014000052 1152111.4180048609)
0.0,Bergières-Bossons,130.0,70.0,,,2119340.0,Lausanne,Route des Plaines-du-Loup,7,CAD,939.958325,,Déjà raccordé,0.0,1950.0,8013.0,0.0,363.0,2.0,580.799988,1618.3855457989,,MULTIPOINT (2537647.1500000483 1153918.3680046655)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325249.0,5249.0,885787.0,Lausanne,Avenue d'Ouchy,16,Mazout,250.33412,,CAD actuel,1.0,1905.0,8011.0,2020.0,28.0,7.0,156.800003,1596.51862244898,,MULTIPOINT (2537967.5930000506 1151649.2570049053)
,,,,13215380.0,15380.0,300000757.0,Lausanne,Chemin de la Vulliette,27O,Gaz,277.649914,,Sondes,0.0,2007.0,8021.0,0.0,55.0,4.0,176.0,1577.55632954545,,MULTIPOINT (2541949.3250000426 1156500.706004389)
0.0,Sud-Ouest / Cadouest,130.0,70.0,1325836.0,5836.0,884433.0,Lausanne,Avenue Louis-Ruchonnet,17,Mazout,405.00706,,CAD actuel,0.0,1952.0,8013.0,0.0,81.0,4.0,259.200012,1562.52723765432,,MULTIPOINT (2537631.7960000504 1152230.4750048488)
0.0,Ruffy,175.0,75.0,1323352.0,3352.0,881562.0,Lausanne,Avenue de la Vallonnette,10,CAD,25.7,,Déjà raccordé remplaçable par sonde,0.0,1960.0,8013.0,0.0,21.0,1.0,16.7999992,1529.7619047619,,MULTIPOINT (2539562.3910000473 1153246.8730047364)
0.0,Ruffy,175.0,75.0,1323531.0,3531.0,881458.0,Lausanne,Chemin du Devin,57,Mazout,1829.26306,,CAD actuel,0.0,1966.0,8014.0,0.0,531.0,3.0,1274.40002,1435.39160389203,,MULTIPOINT (2539747.558000047 1153666.273004692)
0.0,Vennes-Boissonet,175.0,75.0,1327821.0,7821.0,880880.0,Lausanne,Chemin de Grand-Vennes,3E,Gaz,239.589209,,Sondes,0.0,1979.0,8015.0,0.0,73.0,3.0,175.199997,1367.51831621005,,MULTIPOINT (2539825.899000046 1154888.857004562)
0.0,Ruffy,175.0,75.0,,,2118643.0,Lausanne,Chemin du Devin,10,CAD,305.3,,Déjà raccordé,0.0,1967.0,8014.0,0.0,146.0,2.0,233.600006,1306.93493150685,,MULTIPOINT (2539652.2120000473 1153244.5050047357)
0.0,Bergières-Bossons,130.0,70.0,1322113.0,2113.0,882877.0,Lausanne,Rue des Amis,1,Gaz,55.147893,,PAC Air Eau ,0.0,1888.0,8011.0,0.0,53.0,1.0,42.4000015,1300.65785377358,,MULTIPOINT (2537972.4190000487 1153508.2890047093)
