id_roof,egid,area_roof_solar_m2,mean_annual_irr_kWh_m2_y,tilt,azimuth,roof_annual_irr_kWh_y,geometry,id_building
9307460,954135.0,188.680885837952,1217,26,-112,229625,"MULTIPOLYGON (((2592819.164000001 1120187.2159999982, 2592832.585000001 1120154.5029999986, 2592824.9290000014 1120157.9560000002, 2592816.1389999986 1120179.3830000013, 2592819.164000001 1120187.2159999982)))",40279
9307459,954135.0,39.5804990298092,1659,25,-22,65664,"MULTIPOLYGON (((2592832.585000001 1120154.5029999986, 2592821.7250000015 1120150.0480000004, 2592824.9290000014 1120157.9560000002, 2592832.585000001 1120154.5029999986)))",40279
9307461,954135.0,39.5709467784169,971,25,158,38423,"MULTIPOLYGON (((2592819.164000001 1120187.2159999982, 2592816.1389999986 1120179.3830000013, 2592808.3049999997 1120182.7630000003, 2592819.164000001 1120187.2159999982)))",40279
9307462,954135.0,193.761940575386,1439,26,68,278823,"MULTIPOLYGON (((2592824.9290000014 1120157.9560000002, 2592821.7250000015 1120150.0480000004, 2592808.3049999997 1120182.7630000003, 2592816.1389999986 1120179.3830000013, 2592824.9290000014 1120157.9560000002)))",40279
9311787,9038773.0,104.896731994318,1079,19,178,113184,"MULTIPOLYGON (((2592378.6680000015 1120324.5890000015, 2592378.7399999984 1120322.9090000018, 2592386.625 1120323.2490000017, 2592386.8610000014 1120317.7679999992, 2592371.1849999987 1120317.0940000005, 2592370.8779999986 1120324.2540000007, 2592378.6680000015 1120324.5890000015)))",40123
9311786,9038773.0,99.7333496640156,1644,20,-2,163962,"MULTIPOLYGON (((2592386.8610000014 1120317.7679999992, 2592387.1559999995 1120310.8900000006, 2592379.886 1120310.5760000013, 2592379.8139999993 1120312.256000001, 2592371.409000002 1120311.8949999996, 2592371.1849999987 1120317.0940000005, 2592386.8610000014 1120317.7679999992)))",40123
