Date,Day,Frequency,RowOffset,Weekday
1990-11-20 00:00:00,1,62,7752,1.0
1990-02-02 00:00:00,2,22,768,1.0
1990-02-06 00:00:00,3,27,864,1.0
1990-11-17 00:00:00,4,24,7680,0.0
1990-09-19 00:00:00,5,46,6264,1.0
1990-09-01 00:00:00,6,40,5832,0.0
1990-10-24 00:00:00,7,53,7104,1.0
1990-09-29 00:00:00,8,18,6504,0.0
1990-07-19 00:00:00,9,20,4776,1.0
1990-08-12 00:00:00,10,53,5352,0.0
1990-02-27 00:00:00,11,1,1368,1.0
1990-08-02 00:00:00,12,1,5112,1.0
