,Irr,Text,Weekday,Emissions
581,0.02,-2.66,1,268.244
582,0.02,-2.88,1,230.544
583,0.05,-2.97,1,229.689
584,24.74,-2.46,1,223.187
585,145.61,-2.13,1,219.563
586,277.7,-1.55,1,200.615
587,368.09,-0.56,1,201.044
588,294.75,0.08,1,164.984
589,274.06,0.17,1,181.382
590,338.79,1.23,1,201.947
591,130.91,1.37,1,226.835
592,51.5,1.15,1,223.518
593,1.69,0.6,1,221.347
594,0.02,0.17,1,238.102
595,0.02,0.07,1,222.451
596,0.02,-0.22,1,211.918
597,0.02,-0.61,1,261.545
598,0.02,-0.4,1,250.686
599,0.02,-0.28,1,245.828
600,0.02,-0.32,1,255.061
601,0.02,0.24,1,241.641
602,0.02,0.82,1,257.524
603,0.02,0.99,1,256.48
604,0.02,0.1,1,262.489
605,0.02,-0.6,1,276.085
606,0.02,-0.5,1,280.26
607,0.05,-0.43,1,275.43
608,11.55,0.04,1,287.784
609,29.66,0.57,1,295.699
610,80.78,1.02,1,264.411
611,110.18,1.3,1,257.101
612,174.13,1.68,1,254.65
613,169.18,2.21,1,246.009
614,115.18,2.71,1,235.168
615,97.13,3.36,1,213.834
616,38.64,3.48,1,211.996
617,1.98,3.6,1,240.983
618,0.02,3.44,1,251.052
619,0.02,3.41,1,248.073
620,0.02,3.33,1,238.566
621,0.02,3.73,1,213.028
622,0.02,3.68,1,224.132
623,0.02,3.7,1,211.978
624,0.02,3.2,1,185.38
625,0.02,3.49,1,185.722
626,0.02,4,1,182.655
627,0.02,4.04,1,159.018
628,0.02,3.17,1,153.834
629,0.02,2.94,1,154.985
630,0.02,2.45,1,159.7
631,0.02,2.59,1,156.317
632,24.81,3.59,1,173.255
633,81.97,4.01,1,191.816
634,161.48,5.12,1,208.786
635,155.39,5.46,1,184.189
636,190.18,5.64,1,208.996
637,232.22,6.29,1,192.843
638,231.64,6.16,1,186.167
639,69,5.44,1,175.206
640,46.02,5.5,1,182.205
641,2.11,6.51,1,223.167
642,0.17,5.63,1,270.482
643,0.02,5.08,1,292.253
644,0.02,4.41,1,303.075
645,0.02,3.54,1,268.74
646,0.03,2.98,1,274.697
647,0.02,2.05,1,268.389
648,0.03,1.77,1,253.657
649,0.02,1.69,1,245.586
650,0.02,1.65,1,200.804
651,0.02,1.48,1,186.179
652,0.02,0.99,1,199.921
653,0.02,1.5,1,232.819
654,0.02,1.82,1,243.851
655,0.13,1.97,1,279.492
656,16.29,1.67,1,288.854
657,59.27,1.77,1,287.966
658,112.49,1.96,1,268.465
659,223.43,2.48,1,263.529
660,302,2.87,1,244.153
661,215.3,3.06,1,259.557
662,143.7,2.99,1,261.542
663,77.77,2.81,1,250.731
664,26.84,2.54,1,255.652
665,1.9,1.58,1,238.355
666,0.02,1.06,1,261.447
667,0.02,1.11,1,257.086
668,0.02,1.09,1,248.934
669,0.01,1.28,1,294.815
670,0.02,1.4,1,291.556
671,0.02,1.32,1,301.335
672,0.03,1.2,0,299.342
673,0.02,1.2,0,299.002
674,0.02,1.34,0,295.881
675,0.01,1.39,0,300.326
676,0.02,1.16,0,306.667
677,0.02,1.03,0,329.351
678,0.02,1.25,0,314.998
679,0.13,1.02,0,288.78
680,31.44,1.3,0,283.8745
681,125.06,1.11,0,278.969
682,294.63,1.78,0,285.688
683,421.59,2.52,0,264.064
684,475.12,3.2,0,265.502
685,472.07,3.76,0,276.059
686,351.86,3.74,0,286.616
687,179.51,3.8,0,276.761
688,48.28,3.63,0,267.997
689,2.43,2.98,0,246.027
690,0.02,2.14,0,263.809
691,0.03,1.73,0,272.527
692,0.02,1.16,0,272.536
693,0.02,0.72,0,325.024
694,0.03,0.58,0,330.143
695,0.02,-0.03,0,343.947
696,0.02,-0.27,0,288.932
697,0.02,-0.23,0,300.211
698,0.02,-0.3,0,289.059
699,0.02,-0.37,0,276.904
700,0.02,-0.43,0,273.401
701,0.02,-0.2,0,297.244
702,0.02,0.07,0,304.302
703,0.22,2.25,0,279.498
704,15.73,3.1,0,274.642
705,92.73,3.56,0,274.738
706,232.14,4.59,0,263.83
707,250.57,4.7,0,245.721
708,176.67,4,0,253.526
709,143.1,3.69,0,242.787
710,117.6,2.35,0,261.93
711,167.02,3,0,264.435
712,83.05,3.18,0,265.076
713,4.13,2.62,0,269.4155
714,0.02,2.06,0,273.755
715,0.02,1.79,0,254.246
716,0.01,1.62,0,243.556
717,0.03,1.49,0,285.759
718,0.02,0.97,0,304.857
719,0.02,0.17,0,298.499
720,0.02,-0.23,1,311.257
721,0.02,-0.56,1,302.944
722,0.02,-0.86,1,312.752
723,0.02,-1.2,1,321.143
724,0.02,-1.27,1,341.713
725,0.02,-0.72,1,354.915
726,0.02,-1.24,1,326.779
727,0.19,-1.26,1,283.97
728,10.57,-0.86,1,305.349
729,46.5,-0.54,1,295.862
730,79.6,-0.52,1,284.156
731,181.99,-0.25,1,282.219
732,212.2,0.49,1,284.318
733,332.41,1.48,1,295.37
734,245.41,2.12,1,283.089
735,133.4,2.68,1,278.627
736,69.2,2.96,1,282.769
737,2.29,2.17,1,274.642
738,0.02,2.01,1,286.332
739,0.03,1.96,1,255.838
740,0.02,2.04,1,281.656
741,0.02,2.14,1,280.693
742,0.02,1.77,1,281.875
743,0.02,1.39,1,288.107
744,0.02,1.65,1,272.375
745,0.03,1.95,1,254.361
746,0.02,2.27,1,249.959
747,0.02,2.03,1,218.884
748,0.02,2.23,1,207.071
749,0.02,2.53,1,241.956
750,0.02,2.35,1,279.273
751,0.09,2.99,1,263.846
752,12.49,4.06,1,268.521
753,46.62,3.94,1,267.157
754,85.64,4.35,1,257.698
755,94.86,4.55,1,267.012
756,69,4.46,1,263.533
757,57.26,4.17,1,276.304
758,50.93,4.21,1,270.177
759,27.41,3.81,1,269.87
760,16.32,3.49,1,258.612
761,0.73,3.43,1,253.875
762,0.02,3.56,1,252.881
763,0.02,3.22,1,244.408
764,0.02,2.8,1,242.713
765,0.02,2.97,1,296.258
766,0.02,3.06,1,308.359
767,0.02,2.86,1,325.361
768,0.02,2.85,1,312.951
769,0.02,2.64,1,295.773
770,0.02,2.45,1,268.881
771,0.02,2.37,1,238.912
772,0.03,2.25,1,229.781
773,0.03,2.29,1,238.633
774,0.03,2.59,1,260.166
775,0.25,2.06,1,281.821
776,20.42,2,1,288.72
777,48.6,2.18,1,290.695
778,75.81,2.49,1,279.777
779,152.72,3.07,1,265.057
780,158.18,2.87,1,277.67
781,136.94,2.81,1,261
782,80.45,3.04,1,257.534
783,42.62,2.99,1,263.419
784,23.7,2.67,1,244.213
785,2.13,3.01,1,248.937
786,0.02,3.22,1,279.046
787,0.03,3.5,1,350.325
788,0.02,3.46,1,363.489
789,0.02,3.61,1,368
790,0.03,3.38,1,376.78
791,0.02,3.37,1,369.391
792,0.02,3.2,1,370.27
793,0.03,3.35,1,349.963
794,0.02,3.53,1,322.23
795,0.02,3.49,1,276.779
796,0.02,2.9,1,256.777
797,0.02,2.35,1,265.016
798,0.02,2.24,1,301.396
799,0.02,1.86,1,322.312
800,2.6,1.02,1,331.192
801,10.43,0.86,1,324.989
802,44.39,1.37,1,325.105
803,58.49,1.62,1,305.442
804,66.65,1.24,1,298.421
805,89.94,1.08,1,311.883
806,79.39,1.14,1,318.378
807,60.51,1.24,1,312.709
808,20.43,1.04,1,301.51
809,3.15,0.83,1,290.246
810,0.02,0.83,1,327.875
811,0.02,0.83,1,346.333
812,0.02,0.79,1,332.042
813,0.02,0.74,1,336.565
814,0.02,0.86,1,335.444
815,0.02,0.63,1,331.365
816,0.02,0.56,1,323.9755
817,0.02,0.61,1,316.586
818,0.02,0.53,1,304.84
819,0.02,0.37,1,279.93
820,0.02,-0.19,1,277.424
821,0.05,-0.82,1,319.432
822,0.03,-1.39,1,331.085
823,0.26,-1.74,1,321.691
824,40.02,-1.47,1,320.699
