,min_D0,max_D0,min_D1,max_D1,min_D2,max_D2
MD,0.20821533796335437,0.24821533796335435,0.0,0.023159641018394985,0.0,0.02
PT,0.5644277232039421,0.6044277232039421,0.800605619968468,0.840605619968468,0.8037969845088262,0.8437969845088262
cars,0.16735693883270358,0.20735693883270356,0.15623473901313695,0.19623473901313693,0.15620301549117377,0.19620301549117375
EV_district,0.0671734841721521,0.08322862586885851,0.06270927182009649,0.07876441351680288,0.06269653867909054,0.07875168037579695
