transformer,N_house,Scluster,f,rho_household,rho_industry,rho_service,scale-up
14918,105,39152.75,1.0,0.9174036007449815,0.00973994619576464,0.01909360557356694,6.77961386
797,4,704.7,1.0,1.0,0.0,0.0,0.0243241
15087,46,33167.159999999996,1.0,0.49454611015956007,0.08149283331830884,0.3627963580636437,2.70421894
15072,20,29721.320000000007,1.0,0.2637349998083043,0.46359697887512946,0.24642487443928998,0.7024449300000001
881,24,5648.260000000001,1.0,0.963102005792127,0.00750831277485788,0.0,2.52598747
