transformer,N_house,Scluster,f,rho_household,rho_industry,rho_service,scale-up
9678,16,12886.64,1.0,0.49570558034643253,0.14572237416630685,0.20805143707115786,3.8520504400000006
9697,63,70023.09,1.0,0.8758830219064142,0.03912274730839151,0.0849942307851943,32.19097178
2534,21,21656.94,1.0,0.1949294594217069,0.7170694231037854,0.08464869395166923,3.28278309
10260,39,16762.23,1.0,0.9266412537060568,0.0711986446421008,0.0,6.2583334399999995
10312,18,46001.12,1.0,0.13063900577355905,0.2667090713377043,0.5749747202922662,6.06407645
