Date	Day	Frequency	Weekday
11/19/2005/00	323	53.0
01/24/2005/00	24	41.0
12/27/2005/00	361	26.0
03/15/2005/00	74	36.0
10/20/2005/00	293	46.0
05/16/2005/00	136	44.0
04/09/2005/00	99	42.0
06/30/2005/00	181	32.0
08/18/2005/00	230	23.0
06/16/2005/00	167	22.0
12/10/2005/00	344	1.0
07/26/2005/00	207	1.0
