Hour,Load_Profile
1,46.77639766
2,44.91044259
3,43.04448751
4,41.17853243
5,39.31257735
6,37.44662227
7,35.5806672
8,34.88175752
9,34.29066549
10,33.69957347
11,33.10848144
12,31.37002138
13,30.17719204
14,28.9843627
15,27.00728825
16,26.50056867
17,25.99384909
18,31.14781182
19,47.45120571
20,47.70357939
21,47.95595306
22,46.65187828
23,44.93905044
24,43.2262226
25,41.51339476
26,39.80056692
27,38.08773908
28,36.37491125
29,34.66208341
30,32.97323419
31,33.11712137
32,28.57700101
33,27.72398494
34,26.87096887
35,28.13777688
36,31.06260213
37,33.98742738
38,36.91225263
39,39.83707788
40,42.76190313
41,47.25184075
42,45.66274745
43,44.07365415
44,42.48456084
45,40.89546754
46,39.30637424
47,37.71728094
48,36.12818763
49,34.53909433
50,31.6120053
51,30.50776728
52,29.40352926
53,27.4244743
54,26.78150347
55,26.9246288
56,29.76766733
57,32.61070586
58,35.45374439
59,38.29678292
60,41.13982145
61,43.98285998
62,46.99639755
63,45.16885806
64,43.34131857
65,41.51377907
66,39.68623958
67,37.85870009
68,36.0311606
69,34.19611044
70,34.19414299
71,32.56979374
72,30.7049654
73,34.05065507
74,37.39634473
75,40.74203439
76,45.6423814
77,46.0549891
78,46.46759681
79,46.88020452
80,46.21709947
81,44.53807599
82,42.85905251
83,41.18002904
84,39.50100556
85,37.82198208
86,35.58231947
87,36.19342704
88,36.80453461
89,37.41564218
90,38.02674975
91,38.63785732
92,38.82267419
93,39.96127349
94,41.09987279
95,42.23847209
96,43.37707139
97,44.5156707
98,45.65427
99,46.7928693
100,47.37104221
101,45.7221971
102,44.073352
103,42.42450689
104,40.77566179
105,37.83428797
106,37.36426328
107,36.89423858
108,36.27294617
109,36.97306431
110,37.67318245
111,38.37330059
112,40.04838651
113,41.02938871
114,42.01039092
115,42.99139312
116,43.97239533
117,44.95339754
118,45.93439974
119,46.87957376
120,45.37228076
121,43.86498775
122,42.35769475
123,40.85040174
124,38.26937172
125,37.73157036
126,37.19376901
127,36.65596765
128,36.1181663
129,34.26128571
130,35.18420662
131,36.10712752
132,35.11211779
133,40.21280511
134,46.77639766
135,44.91044259
136,43.04448751
137,41.17853243
138,39.31257735
139,37.44662227
140,35.5806672
141,34.88175752
142,34.29066549
143,33.69957347
144,33.10848144
145,31.37002138
146,30.17719204
147,28.9843627
148,27.00728825
149,26.50056867
150,25.99384909
151,31.14781182
152,47.45120571
153,47.70357939
154,47.95595306
155,46.65187828
156,44.93905044
157,43.2262226
158,41.51339476
159,39.80056692
160,38.08773908
161,36.37491125
162,34.66208341
163,32.97323419
164,33.11712137
165,28.57700101
166,27.72398494
167,26.87096887
168,28.13777688
169,31.06260213
170,33.98742738
171,36.91225263
172,39.83707788
173,42.76190313
174,47.25184075
175,45.66274745
176,44.07365415
177,42.48456084
178,40.89546754
179,39.30637424
180,37.71728094
181,36.12818763
182,34.53909433
183,31.6120053
184,30.50776728
185,29.40352926
186,27.4244743
187,26.78150347
188,26.9246288
189,29.76766733
190,32.61070586
191,35.45374439
192,38.29678292
193,41.13982145
194,43.98285998
195,46.99639755
196,45.16885806
197,43.34131857
198,41.51377907
199,39.68623958
200,37.85870009
201,36.0311606
202,34.19611044
203,34.19414299
204,32.56979374
205,30.7049654
206,34.05065507
207,37.39634473
208,40.74203439
209,45.6423814
210,46.0549891
211,46.46759681
212,46.88020452
213,46.21709947
214,44.53807599
215,42.85905251
216,41.18002904
217,39.50100556
218,37.82198208
219,35.58231947
220,36.19342704
221,36.80453461
222,37.41564218
223,38.02674975
224,38.63785732
225,38.82267419
226,39.96127349
227,41.09987279
228,42.23847209
229,43.37707139
230,44.5156707
231,45.65427
232,46.7928693
233,47.37104221
234,45.7221971
235,44.073352
236,42.42450689
237,40.77566179
238,37.83428797
239,37.36426328
240,36.89423858
241,36.27294617
242,36.97306431
243,37.67318245
244,38.37330059
245,40.04838651
246,41.02938871
247,42.01039092
248,42.99139312
249,43.97239533
250,44.95339754
251,45.93439974
252,46.87957376
253,45.37228076
254,43.86498775
255,42.35769475
256,40.85040174
257,38.26937172
258,37.73157036
259,37.19376901
260,36.65596765
261,36.1181663
262,34.26128571
263,35.18420662
264,36.10712752
265,35.11211779
266,40.21280511
267,46.77639766
268,44.91044259
269,43.04448751
270,41.17853243
271,39.31257735
272,37.44662227
273,35.5806672
274,34.88175752
