hy	m	dm	h	G_Gh	G_Dh	G_Gk	G_Dk	G_Bn	Ta
143	1	6	23	0	0	0	0	0	0.4
144	1	6	24	0	0	0	0	0	0.0
145	1	7	1	0	0	0	0	0	-0.3
146	1	7	2	0	0	0	0	0	-0.6
147	1	7	3	0	0	0	0	0	-0.8
148	1	7	4	0	0	0	0	0	-1.0
149	1	7	5	0	0	0	0	0	-1.1
150	1	7	6	0	0	0	0	0	-1.2
151	1	7	7	0	0	0	0	0	-1.3
152	1	7	8	0	0	0	0	0	-1.4
153	1	7	9	2	2	2	2	0	-1.3
154	1	7	10	95	73	95	73	143	0.7
155	1	7	11	182	82	182	82	383	2.6
156	1	7	12	260	93	260	93	506	4.3
157	1	7	13	275	117	275	117	443	5.5
158	1	7	14	289	90	289	90	582	6.4
159	1	7	15	229	69	229	69	561	6.7
160	1	7	16	146	85	146	85	323	6.3
161	1	7	17	21	21	21	21	0	5.1
162	1	7	18	0	0	0	0	0	4.4
163	1	7	19	0	0	0	0	0	3.8
164	1	7	20	0	0	0	0	0	3.2
165	1	7	21	0	0	0	0	0	2.6
166	1	7	22	0	0	0	0	0	2.0
167	1	7	23	0	0	0	0	0	1.3
168	1	7	24	0	0	0	0	0	0.7
169	1	8	1	0	0	0	0	0	0.0
170	1	8	2	0	0	0	0	0	-0.8
171	1	8	3	0	0	0	0	0	-1.5
172	1	8	4	0	0	0	0	0	-1.9
173	1	8	5	0	0	0	0	0	-2.3
174	1	8	6	0	0	0	0	0	-2.7
175	1	8	7	0	0	0	0	0	-3.0
176	1	8	8	0	0	0	0	0	-3.3
177	1	8	9	5	5	5	5	0	-3.1
178	1	8	10	105	76	105	76	188	-1.3
179	1	8	11	211	58	211	58	585	0.6
180	1	8	12	291	62	291	62	690	2.3
181	1	8	13	337	55	337	55	783	3.6
182	1	8	14	327	53	327	53	792	4.4
183	1	8	15	283	51	283	51	805	4.7
184	1	8	16	176	98	176	98	401	4.3
185	1	8	17	27	27	27	27	0	2.9
186	1	8	18	0	0	0	0	0	2.2
187	1	8	19	0	0	0	0	0	1.5
188	1	8	20	0	0	0	0	0	0.8
189	1	8	21	0	0	0	0	0	0.1
190	1	8	22	0	0	0	0	0	-0.6
191	1	8	23	0	0	0	0	0	-1.4
192	1	8	24	0	0	0	0	0	-2.1
193	1	9	1	0	0	0	0	0	-2.6
194	1	9	2	0	0	0	0	0	-3.3
195	1	9	3	0	0	0	0	0	-3.9
196	1	9	4	0	0	0	0	0	-4.2
197	1	9	5	0	0	0	0	0	-4.5
198	1	9	6	0	0	0	0	0	-4.8
199	1	9	7	0	0	0	0	0	-5.1
200	1	9	8	0	0	0	0	0	-5.3
201	1	9	9	7	7	7	7	0	-5.1
202	1	9	10	129	77	129	77	335	-2.7
203	1	9	11	246	44	246	44	763	-0.4
204	1	9	12	330	50	330	50	839	1.5
205	1	9	13	369	54	369	54	869	3.0
206	1	9	14	355	55	355	55	860	3.8
207	1	9	15	285	51	285	51	807	4.0
208	1	9	16	177	98	177	98	403	3.4
209	1	9	17	27	27	27	27	0	1.8
210	1	9	18	0	0	0	0	0	1.4
211	1	9	19	0	0	0	0	0	1.0
212	1	9	20	0	0	0	0	0	0.6
213	1	9	21	0	0	0	0	0	0.2
214	1	9	22	0	0	0	0	0	-0.2
215	1	9	23	0	0	0	0	0	-0.6
216	1	9	24	0	0	0	0	0	-1.0
217	1	10	1	0	0	0	0	0	-1.2
218	1	10	2	0	0	0	0	0	-1.4
219	1	10	3	0	0	0	0	0	-1.6
220	1	10	4	0	0	0	0	0	-1.7
221	1	10	5	0	0	0	0	0	-1.8
222	1	10	6	0	0	0	0	0	-1.9
223	1	10	7	0	0	0	0	0	-2.1
224	1	10	8	0	0	0	0	0	-2.0
225	1	10	9	2	2	2	2	0	-1.9
226	1	10	10	10	10	10	10	0	-1.7
227	1	10	11	20	20	20	20	0	-1.5
228	1	10	12	26	26	26	26	0	-1.3
229	1	10	13	29	29	29	29	0	-1.2
230	1	10	14	292	162	292	162	370	0.7
231	1	10	15	266	60	266	60	699	2.0
232	1	10	16	190	109	190	109	408	2.5
233	1	10	17	32	32	32	32	0	2.0
234	1	10	18	0	0	0	0	0	1.8
235	1	10	19	0	0	0	0	0	1.6
236	1	10	20	0	0	0	0	0	1.4
237	1	10	21	0	0	0	0	0	1.2
238	1	10	22	0	0	0	0	0	1.0
239	1	10	23	0	0	0	0	0	0.8
240	1	10	24	0	0	0	0	0	0.6
241	1	11	1	0	0	0	0	0	0.3
242	1	11	2	0	0	0	0	0	0.1
243	1	11	3	0	0	0	0	0	-0.2
244	1	11	4	0	0	0	0	0	-0.2
245	1	11	5	0	0	0	0	0	-0.3
246	1	11	6	0	0	0	0	0	-0.4
247	1	11	7	0	0	0	0	0	-0.5
248	1	11	8	0	0	0	0	0	-0.5
249	1	11	9	5	5	5	5	0	-0.3
250	1	11	10	67	57	67	57	59	0.8
251	1	11	11	35	35	35	35	0	0.8
252	1	11	12	135	127	135	127	21	1.7
253	1	11	13	213	164	213	164	134	2.8
254	1	11	14	245	149	245	149	273	3.7
255	1	11	15	79	79	79	79	0	3.4
256	1	11	16	33	33	33	33	0	2.9
257	1	11	17	5	5	5	5	0	2.3
258	1	11	18	0	0	0	0	0	1.8
259	1	11	19	0	0	0	0	0	1.4
260	1	11	20	0	0	0	0	0	1.0
261	1	11	21	0	0	0	0	0	0.6
262	1	11	22	0	0	0	0	0	0.1
263	1	11	23	0	0	0	0	0	-0.3
264	1	11	24	0	0	0	0	0	-0.9
265	1	12	1	0	0	0	0	0	-1.5
266	1	12	2	0	0	0	0	0	-2.4
267	1	12	3	0	0	0	0	0	-3.3
268	1	12	4	0	0	0	0	0	-4.3
269	1	12	5	0	0	0	0	0	-4.1
270	1	12	6	0	0	0	0	0	-4.6
271	1	12	7	0	0	0	0	0	-4.9
272	1	12	8	0	0	0	0	0	-5.3
273	1	12	9	2	2	2	2	0	-5.4
274	1	12	10	28	28	28	28	0	-5.3
275	1	12	11	56	56	56	56	0	-5.3
276	1	12	12	78	78	78	78	0	-5.3
277	1	12	13	94	94	94	94	0	-5.3
278	1	12	14	90	90	90	90	0	-5.4
279	1	12	15	59	59	59	59	0	-5.5
280	1	12	16	37	37	37	37	0	-5.6
281	1	12	17	11	11	11	11	0	-5.8
282	1	12	18	0	0	0	0	0	-6.0
283	1	12	19	0	0	0	0	0	-6.2
284	1	12	20	0	0	0	0	0	-6.4
285	1	12	21	0	0	0	0	0	-6.7
286	1	12	22	0	0	0	0	0	-6.9
