h,Building1,Building2,829046,829047,829057,3104405,829049,829050,829044,829051,829053,829052,829067,829054,829056,829055,3104398,829066,829082,829065,829062,829063,829080,829081,829695,829697,3104571,280082734,829696,829698,829713,829700,3104580,829694,829693,829692,829691,280091601,280065226,829059,829058,829041,829040,829043
1,261.5,721.5,755.25,336.0,609.25,703.5,333.75,741.75,1010.5,331.25,310.0,328.0,1025.0,400.5,176.75,244.0,539.0,6425.25,6158.75,3109.5,3664.0,3226.75,9480.5,1525.5,270.0,297.0,5990.0,4729.75,540.25,12231.75,476.5,233.0,1445.25,974.75,340.5,812.75,948.5,3316.0,369.5,345.25,267.25,677.25,403.0,1388.0
2,202.5,463.75,630.25,317.25,566.5,441.75,272.25,460.25,695.75,293.75,323.25,395.0,910.25,413.0,234.25,246.0,367.25,6278.25,6203.25,3297.75,3717.5,2411.25,9072.5,1028.5,300.0,336.75,6060.75,4057.0,394.5,3595.25,691.75,199.5,911.75,705.75,517.75,562.5,892.0,3437.0,1929.0,2706.25,211.25,375.0,479.5,787.0
3,236.25,489.0,892.0,307.5,831.0,459.25,364.75,382.75,763.0,441.5,389.25,584.0,1209.0,463.0,248.5,262.0,356.75,3974.0,5404.0,2528.5,1831.75,1831.5,8892.5,885.0,292.0,443.0,3971.0,3556.5,475.25,1562.25,460.75,460.0,338.75,593.5,636.5,506.0,633.75,1430.25,618.5,8347.75,129.0,270.5,565.0,837.0
4,159.25,358.25,688.0,310.75,718.25,454.0,295.25,478.75,791.25,436.75,372.75,501.75,938.25,340.0,226.0,284.5,340.5,3861.5,10604.0,4662.25,2085.25,1299.25,7867.75,819.25,194.0,429.0,2634.5,3019.75,250.75,1926.75,581.25,245.0,354.5,567.5,668.25,526.75,518.25,1773.5,597.25,11535.5,150.0,265.75,1364.0,690.25
5,246.25,496.5,1138.75,366.75,807.0,638.5,376.5,395.25,901.5,412.75,316.25,425.0,1150.0,575.75,194.5,283.0,340.0,4200.75,4334.0,1601.25,1710.5,1608.0,7435.5,949.75,227.0,514.75,1370.25,3422.25,338.0,1934.5,691.5,227.25,382.75,492.25,904.5,532.75,697.5,1475.75,528.25,32549.5,362.5,162.75,731.5,877.25
6,215.5,456.5,1962.75,429.75,776.5,635.5,400.75,464.75,896.5,305.25,373.5,589.75,1406.75,343.0,236.25,323.0,362.25,5957.75,4265.0,4527.25,1783.25,3494.25,7376.25,899.25,198.5,497.75,1387.5,5195.25,410.5,1810.25,562.5,359.5,367.75,427.5,906.75,507.25,559.5,1514.75,547.5,24104.75,140.0,124.0,550.75,847.0
7,190.25,853.5,3211.0,346.5,713.75,1008.25,681.75,373.75,1349.5,404.0,354.5,487.75,1093.25,529.0,371.25,288.25,336.25,4264.25,5551.0,2223.5,1868.0,1588.75,7501.25,978.0,185.5,435.5,1319.0,2839.5,537.25,2114.0,489.0,225.5,364.0,479.5,3581.5,549.0,519.5,1572.75,603.75,15565.25,106.5,165.5,645.0,679.25
8,704.25,918.75,2576.5,314.25,891.25,1217.0,1110.25,438.0,1179.5,1612.75,457.75,437.5,1086.25,323.75,435.5,354.75,331.0,5766.0,4164.5,3084.25,2383.75,1811.5,7765.5,1358.75,100.75,741.0,1137.75,3167.25,365.25,1733.0,1059.5,621.0,335.5,670.75,2785.5,496.25,710.0,1862.5,689.25,14018.5,204.75,246.5,671.5,706.0
9,191.75,1206.25,1559.25,572.0,820.75,1302.25,429.5,341.5,3584.75,2204.25,581.5,565.5,1116.0,537.75,655.0,634.0,493.0,7821.75,4670.25,3169.5,3688.75,1829.0,7616.75,1678.75,594.5,957.25,1992.5,2786.25,424.0,1432.5,1026.0,310.75,947.5,1326.25,174.0,1155.25,643.5,1838.75,820.5,4036.25,59.5,341.25,1251.5,870.25
10,230.75,834.0,734.0,360.5,656.5,3051.5,244.0,1148.25,2404.0,2410.75,1265.25,1165.25,673.5,184.25,560.25,478.5,288.5,7752.75,4524.5,3397.0,3981.5,1564.25,8874.75,2938.0,293.75,0.0,2671.75,2765.0,672.5,7860.75,503.5,326.0,1250.0,2265.5,0.0,599.5,462.5,1696.0,1912.5,0.0,137.25,303.75,787.0,785.5
11,232.75,551.5,620.75,482.0,602.0,4132.75,322.75,3276.0,1370.25,1353.0,1059.0,860.5,981.0,754.0,397.25,334.5,831.5,7133.5,9189.5,1706.0,4458.75,3537.0,8646.25,3951.75,238.75,0.0,2976.25,2762.75,308.0,2282.0,532.25,1302.0,476.25,1844.5,0.0,921.75,426.75,2532.5,928.25,0.0,86.5,230.75,523.0,1305.0
12,198.0,584.5,708.5,717.5,784.75,1470.5,263.0,1061.5,2112.0,691.5,2962.25,461.25,3536.75,483.25,460.5,1233.0,979.0,6170.0,5216.75,1425.0,5196.5,2401.5,8066.0,2592.0,178.25,0.0,3088.25,2912.75,377.25,1090.5,550.25,794.5,352.25,829.0,0.0,1450.25,457.5,4319.5,7420.0,0.0,203.0,400.0,723.0,1208.25
13,277.0,650.5,876.75,1232.25,929.0,6364.25,265.25,2520.75,1005.5,2872.75,523.5,388.0,2455.25,1518.25,375.25,633.25,2160.25,7159.75,6922.25,1676.75,6690.0,4170.75,8131.25,2731.5,3886.0,0.0,6626.5,4593.25,251.25,768.0,503.75,415.5,1028.25,4414.0,0.0,4736.25,398.5,5188.0,542.0,0.0,219.75,428.75,262.75,2750.25
