Date	Day	Frequency	Weekday
01/06/2005/00	5	85.0	1.0
12/07/2005/00	340	38.0	0.0
02/25/2005/00	55	18.0	1.0
04/04/2005/00	93	38.0	0.0
09/22/2005/00	264	21.0	0.0
09/20/2005/00	262	59.0	1.0
10/02/2005/00	274	23.0	0.0
05/24/2005/00	143	30.0	1.0
08/13/2005/00	224	23.0	1.0
08/31/2005/00	242	30.0	1.0
03/01/2005/00	59	1.0	1.0
07/10/2005/00	190	1.0	0.0
