parameter,value
CostTransformer_inv2,8.175333281359634
CostTransformer_inv1,16988.0837296328
GWP_Transformer2,399.71398430411176
GWP_Transformer1,419623.082679763
CostLine_inv2,0.0032204622417672827
CostLine_inv1,-0.20326030053795155
GWP_Line2,0.060860122399817695
GWP_Line1,23.048564666818596
