Unit;ref_unit;Units_Fmin;Units_Fmax;Cost_inv1;Cost_inv2;GWP_unit1;GWP_unit2;lifetime;UnitOfType;UnitOfLayer;UnitOfService;StreamsOfUnit;Units_flowrate_in;Units_flowrate_out;stream_Tin;stream_Tout;References
Battery_IP;kWh;0.1;100000;5000;550;100;100;15;Battery_interperiod;Electricity;;;Electricity;Electricity;0;0;<->
CH4_storage_IP;kWh;0.1;1000000000;20000;2.0;200;2;20;CH4storage;Biomethane/ Electricity;;;Biomethane/ Electricity;Biomethane;0;0;<->
H2_storage_IP;kWh;0.1;1000000000;20000;9;200;2;20;H2storage;Hydrogen/ Electricity;;;Hydrogen/ Electricity; Hydrogen;0;0;<https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/24006-onboard-storage-cost-performance-status.pdf>
CO2_storage_IP;mol;0.1;1000000000;0;0.0001;0;0.1;20;CO2storage;CO2/ Electricity;;;CO2/ Electricity;CO2;0;0;<->
Compressor_IP;kW;0.001;1000000000;2000;750;100;20;20;Compressor;;;;;;0;0
