2.2436e-12, 99093.454775, 10395.584541
20602.687731, 96928.025037, 10395.584541
40304.939146, 90526.375492, 10395.584541
58245.671316, 80168.288944, 10395.584541
73640.788155, 66306.46348, 10395.584541
85817.449184, 49546.727388, 10395.584541
94243.475886, 30621.561557, 10395.584541
98550.610462, 10358.086548, 10395.584541
98550.610462, -10358.086548, 10395.584541
94243.475886, -30621.561557, 10395.584541
85817.449184, -49546.727388, 10395.584541
73640.788155, -66306.46348, 10395.584541
58245.671316, -80168.288944, 10395.584541
40304.939146, -90526.375492, 10395.584541
20602.687731, -96928.025037, 10395.584541
4.7698e-11, -99093.454775, 10395.584541
-20602.687731, -96928.025037, 10395.584541
-40304.939146, -90526.375492, 10395.584541
-58245.671316, -80168.288944, 10395.584541
-73640.788155, -66306.46348, 10395.584541
-85817.449184, -49546.727388, 10395.584541
-94243.475886, -30621.561557, 10395.584541
-98550.610462, -10358.086548, 10395.584541
-98550.610462, 10358.086548, 10395.584541
-94243.475886, 30621.561557, 10395.584541
-85817.449184, 49546.727388, 10395.584541
-73640.788155, 66306.46348, 10395.584541
-58245.671316, 80168.288944, 10395.584541
-40304.939146, 90526.375492, 10395.584541
-20602.687731, 96928.025037, 10395.584541
1.655e-12, 94795.385237, 30732.416695
19709.068826, 92723.87863, 30732.416695
38556.75677, 86599.893589, 30732.416695
55719.329428, 76691.077645, 30732.416695
70446.700018, 63430.493604, 30732.416695
82095.211777, 47397.692618, 30732.416695
90155.768844, 29293.385027, 30732.416695
94276.086198, 9908.815944, 30732.416695
94276.086198, -9908.815944, 30732.416695
90155.768844, -29293.385027, 30732.416695
82095.211777, -47397.692618, 30732.416695
70446.700018, -63430.493604, 30732.416695
55719.329428, -76691.077645, 30732.416695
38556.75677, -86599.893589, 30732.416695
19709.068826, -92723.87863, 30732.416695
4.7296e-11, -94795.385237, 30732.416695
-19709.068826, -92723.87863, 30732.416695
-38556.75677, -86599.893589, 30732.416695
-55719.329428, -76691.077645, 30732.416695
-70446.700018, -63430.493604, 30732.416695
-82095.211777, -47397.692618, 30732.416695
-90155.768844, -29293.385027, 30732.416695
-94276.086198, -9908.815944, 30732.416695
-94276.086198, 9908.815944, 30732.416695
-90155.768844, 29293.385027, 30732.416695
-82095.211777, 47397.692618, 30732.416695
-70446.700018, 63430.493604, 30732.416695
-55719.329428, 76691.077645, 30732.416695
-38556.75677, 86599.893589, 30732.416695
-19709.068826, 92723.87863, 30732.416695
1.8011e-12, 86303.101876, 49726.094768
22336.886417, 83362.394991, 49726.094768
43151.550938, 74740.67865, 49726.094768
61025.508574, 61025.508574, 49726.094768
74740.67865, 43151.550938, 49726.094768
83362.394991, 22336.886417, 49726.094768
86303.101876, 2.4056e-11, 49726.094768
83362.394991, -22336.886417, 49726.094768
74740.67865, -43151.550938, 49726.094768
61025.508574, -61025.508574, 49726.094768
43151.550938, -74740.67865, 49726.094768
22336.886417, -83362.394991, 49726.094768
8.7161e-12, -86303.101876, 49726.094768
-22336.886417, -83362.394991, 49726.094768
-43151.550938, -74740.67865, 49726.094768
-61025.508574, -61025.508574, 49726.094768
-74740.67865, -43151.550938, 49726.094768
-83362.394991, -22336.886417, 49726.094768
-86303.101876, -8.35e-11, 49726.094768
-83362.394991, 22336.886417, 49726.094768
-74740.67865, 43151.550938, 49726.094768
-61025.508574, 61025.508574, 49726.094768
-43151.550938, 74740.67865, 49726.094768
-22336.886417, 83362.394991, 49726.094768
1.6277e-12, 74186.798262, 66546.503888
19200.956285, 71658.944411, 66546.503888
37093.399131, 64247.65192, 66546.503888
52457.988126, 52457.988126, 66546.503888
64247.65192, 37093.399131, 66546.503888
71658.944411, 19200.956285, 66546.503888
74186.798262, 1.8327e-11, 66546.503888
71658.944411, -19200.956285, 66546.503888
64247.65192, -37093.399131, 66546.503888
52457.988126, -52457.988126, 66546.503888
37093.399131, -64247.65192, 66546.503888
19200.956285, -71658.944411, 66546.503888
6.9695e-12, -74186.798262, 66546.503888
-19200.956285, -71658.944411, 66546.503888
-37093.399131, -64247.65192, 66546.503888
-52457.988126, -52457.988126, 66546.503888
-64247.65192, -37093.399131, 66546.503888
-71658.944411, -19200.956285, 66546.503888
-74186.798262, -7.3118e-11, 66546.503888
-71658.944411, 19200.956285, 66546.503888
-64247.65192, 37093.399131, 66546.503888
-52457.988126, 52457.988126, 66546.503888
-37093.399131, 64247.65192, 66546.503888
-19200.956285, 71658.944411, 66546.503888
2.0688e-12, 58778.717732, 80458.511463
20103.505463, 55233.927312, 80458.511463
37782.231471, 45027.110092, 80458.511463
50903.862758, 29389.358866, 80458.511463
57885.736934, 10206.81722, 80458.511463
57885.736934, -10206.81722, 80458.511463
50903.862758, -29389.358866, 80458.511463
37782.231471, -45027.110092, 80458.511463
20103.505463, -55233.927312, 80458.511463
7.4352e-12, -58778.717732, 80458.511463
-20103.505463, -55233.927312, 80458.511463
-37782.231471, -45027.110092, 80458.511463
-50903.862758, -29389.358866, 80458.511463
-57885.736934, -10206.81722, 80458.511463
-57885.736934, 10206.81722, 80458.511463
-50903.862758, 29389.358866, 80458.511463
-37782.231471, 45027.110092, 80458.511463
-20103.505463, 55233.927312, 80458.511463
2.4318e-12, 40878.515545, 90854.096004
20439.257773, 35401.832931, 90854.096004
35401.832931, 20439.257773, 90854.096004
40878.515545, 3.7671e-12, 90854.096004
35401.832931, -20439.257773, 90854.096004
20439.257773, -35401.832931, 90854.096004
2.0783e-11, -40878.515545, 90854.096004
-20439.257773, -35401.832931, 90854.096004
-35401.832931, -20439.257773, 90854.096004
