Grid;Cost_demand_cst;Cost_supply_cst;Cost_connection;Grids_flowrate_in;Grids_flowrate_out;GWP_demand_cst;GWP_supply_cst;land_use_demand_cst;land_use_supply_cst;mine_res_demand_cst;mine_res_supply_cst;water_res_demand_cst;water_res_supply_cst;energy_res_demand_cst;energy_res_supply_cst;Human_toxicity_demand_cst;Human_toxicity_supply_cst;water_pollutants_demand_cst;water_pollutants_supply_cst;metals_water_demand_cst;metals_water_supply_cst;pop_water_demand_cst;pop_water_supply_cst;metals_soil_demand_cst;metals_soil_supply_cst;pollutants_pm_demand_cst;pollutants_pm_supply_cst;Metal_air_demand_cst;Metal_air_supply_cst;ozone_depletion_demand_cst;ozone_depletion_supply_cst
Electricity;0.1746;0.3346;0;1;1;0.13;0.13;0.0001;1.33;0.0001;1.52;0.0001;5.59;0.0001;18.75;0.0001;3.33;0.0001;4.29;0.0001;2.34;0.0001;0.22;0.0001;1.13;0.0001;24.04;0.0001;4.59;0.0001;0.26
NaturalGas;0;0.14;0;0;1;0;0.23;0.0001;0.1;0.0001;1.21;0.0001;0.08;0.0001;15.67;0.0001;5.18;0.0001;0.72;0.0001;7.84;0.0001;0.39;0.0001;0.1;0.0001;15.96;0.0001;3.41;0.0001;0.15
Oil;0;0.14;0;0;1;0;0.28;0.0001;0.1;0.0001;1.21;0.0001;0.08;0.0001;15.67;0.0001;5.18;0.0001;0.72;0.0001;7.84;0.0001;0.39;0.0001;0.1;0.0001;15.96;0.0001;3.41;0.0001;0.15
Wood;0;0.11;0;0;1;0;0.10;0.0001;23.98;0.0001;1.37;0.0001;0.1;0.0001;9.19;0.0001;24.78;0.0001;5.11;0.0001;1.07;0.0001;0.38;0.0001;24.01;0.0001;168.51;0.0001;19.65;0.0001;0.02
Data;2.35;2.35;0;1;0;0;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001
Hydrogen;0;0.45;0;1;1;0;0.4;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001
Biogas;0;0.2;0;0;1;0;0.214;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001
Heat;0.05;0.15;0;1;1;0;0.23;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001
